Date(UTC),Latitude,Longitude,Depth,Magnitude
2016-03-20 23:23:10,-31.4,-71.64,29,4.7
2016-03-20 22:30:21,-31.72,-71.26,55,4.2
2016-03-20 20:01:54,-30.65,-71.33,44,4.4
2016-03-19 18:50:29,-33.17,-71.82,31,4.0
2016-03-19 12:24:06,-30.64,-71.59,30,4.5
2016-03-16 03:49:31,-31.27,-71.88,30,5.6
2016-03-14 15:28:24,-20.9,-68.91,105,4.5
2016-03-14 10:26:20,-32.35,-71.61,40,4.5
2016-03-14 04:23:20,-26.14,-70.64,39,4.4
2016-03-12 20:48:37,-21.07,-70.1,74,4.0
2016-03-12 16:05:15,-30.31,-71.54,45,5.2
2016-03-11 07:02:16,-23.08,-68.9,102,5.0
2016-03-11 03:45:29,-25.84,-70.27,66,4.2
2016-03-10 23:47:50,-24.77,-70.64,36,4.0
2016-03-10 08:34:13,-18.83,-69.54,90,5.0
2016-03-09 13:28:11,-30.44,-71.31,55,5.1
2016-03-09 09:40:45,-30.72,-71.4,42,4.4
2016-03-09 06:27:29,-34.79,-71.84,41,4.3
2016-03-08 01:27:48,-31.77,-71.36,45,4.3
2016-03-07 06:01:21,-27.02,-70.83,58,4.3
2016-03-05 17:31:51,-20.73,-69.69,35,4.4
2016-03-04 20:48:35,-21.31,-69.72,65,4.1
2016-03-04 18:58:33,-20.66,-71.02,20,4.5
2016-03-04 12:28:16,-19.01,-70.48,49,4.3
2016-03-04 07:58:19,-20.89,-70.44,61,4.2
2016-03-03 20:21:08,-20.3,-68.95,101,4.5
2016-03-03 18:51:01,-19.14,-69.27,112,4.7
2016-03-03 13:47:15,-30.16,-71.44,32,4.3
2016-03-02 09:49:55,-18.65,-70.61,48,5.1
2016-02-29 01:35:03,-30.41,-71.6,46,4.0
2016-02-25 15:35:07,-23.05,-69.05,95,5.3
2016-02-25 11:27:53,-30.77,-71.38,45,4.7
2016-02-24 21:59:31,-30.07,-71.05,70,4.3
2016-02-24 19:10:01,-29.8,-71.48,38,4.7
2016-02-24 17:02:04,-29.96,-71.66,39,4.7
2016-02-24 03:51:29,-31.77,-69.82,141,4.8
2016-02-24 02:32:58,-31.09,-71.36,45,4.4
2016-02-23 10:29:15,-33.21,-71.39,56,4.0
2016-02-22 06:37:01,-30.49,-72.23,31,6.0
2016-02-20 18:23:01,-32.5,-70.01,129,4.9
2016-02-20 07:03:32,-18.96,-70.18,72,4.2
2016-02-19 05:33:08,-30.59,-71.69,36,5.4
2016-02-18 09:18:42,-20.31,-69.17,100,4.5
2016-02-17 10:54:10,-31.22,-71.57,42,4.7
2016-02-16 22:48:01,-19.03,-69.47,94,4.2
2016-02-16 16:50:51,-30.27,-71.27,59,4.2
2016-02-14 00:21:25,-19.14,-69.44,105,4.4
2016-02-12 22:32:05,-19.94,-70.31,53,5.0
2016-02-12 21:43:15,-31.72,-71.31,55,4.3
2016-02-10 11:10:59,-37.0,-73.61,16,4.6
2016-02-10 07:25:39,-30.62,-71.59,34,4.3
2016-02-10 03:15:02,-36.85,-74.14,30,4.4
2016-02-10 00:59:55,-30.64,-71.68,37,4.6
2016-02-10 00:52:57,-30.66,-71.55,30,4.8
2016-02-10 00:47:09,-30.65,-71.5,30,4.7
2016-02-10 00:33:04,-30.63,-71.65,37,6.4
2016-02-09 21:54:59,-36.83,-73.77,26,4.3
2016-02-08 12:13:19,-32.11,-71.87,36,4.3
2016-02-05 05:28:07,-31.1,-71.81,30,5.1
2016-02-04 17:55:00,-31.07,-71.78,32,5.2
2016-02-03 09:07:14,-21.27,-69.62,44,4.2
2016-02-01 21:27:29,-20.16,-70.49,36,4.3
2016-01-30 09:27:15,-30.17,-71.62,42,4.2
2016-01-29 20:07:16,-30.36,-71.54,44,5.2
2016-01-28 20:36:04,-29.73,-71.63,49,4.2
