Date(UTC),Latitude,Longitude,Depth,Magnitude
2023-01-14 04:05:42,-32.92,-71.69,32,3.2
2023-01-13 18:13:05,-31.25,-71.54,49,3.4
2023-01-13 17:37:28,-20.73,-70.35,39,4.2
2023-01-12 14:24:09,-30.64,-71.23,50,4.5
2023-01-12 09:22:19,-29.0,-71.25,54,3.6
2023-01-12 06:19:10,-30.64,-71.31,54,5.8
2023-01-11 20:20:14,-25.61,-70.81,54,4.0
2023-01-09 09:09:46,-20.04,-69.44,119,3.9
2023-01-08 19:28:46,-33.04,-71.35,59,4.2
2023-01-08 06:57:52,-29.27,-71.24,52,3.7
2023-01-06 13:33:01,-34.23,-71.59,49,4.0
2023-01-05 19:08:18,-32.7,-71.24,62,4.2
2023-01-05 15:13:22,-28.29,-70.91,52,4.3
2023-01-05 14:14:29,-22.91,-68.57,123,4.4
2023-01-04 23:23:47,-19.18,-69.08,126,5.1
2023-01-04 19:42:53,-30.78,-71.42,44,4.0
2023-01-04 15:29:38,-23.0,-68.95,105,4.5
2023-01-02 18:16:58,-30.44,-71.64,33,3.9
2023-01-01 12:19:00,-22.99,-68.96,106,5.2
2022-12-31 12:47:57,-32.28,-71.52,49,4.7
2022-12-31 03:31:44,-23.02,-68.89,98,5.4
2022-12-30 17:45:50,-39.14,-72.43,78,3.8
2022-12-30 01:49:19,-27.64,-70.24,94,4.5
2022-12-28 20:38:09,-30.66,-71.22,58,4.8
2022-12-28 13:57:40,-19.08,-69.76,82,4.7
2022-12-28 08:55:35,-29.49,-71.12,44,3.8
2022-12-27 23:43:53,-32.65,-72.71,20,4.6
2022-12-25 22:18:47,-37.42,-73.78,42,3.4
2022-12-25 15:55:59,-22.53,-69.26,108,4.4
2022-12-24 12:27:34,-30.16,-71.28,65,4.1
2022-12-20 02:08:53,-29.23,-71.25,49,3.9
2022-12-19 20:10:50,-22.31,-68.64,114,5.0
2022-12-16 04:46:36,-29.56,-71.51,71,4.3
2022-12-14 02:11:36,-29.09,-71.31,79,4.1
2022-12-11 10:06:43,-30.07,-71.18,47,3.7
2022-12-10 08:49:05,-31.61,-71.35,43,4.7
2022-12-10 08:48:36,-30.47,-71.04,17,5.0
2022-12-10 07:25:48,-33.66,-72.11,30,5.3
2022-12-10 06:41:31,-22.98,-68.27,123,5.5
2022-12-09 22:00:14,-19.61,-69.23,105,4.0
2022-12-09 18:51:04,-19.13,-69.8,81,4.0
