Date(UTC),Latitude,Longitude,Depth,Magnitude
2012-11-14 19:02:03,-29.24,-71.23,82,5.7
2012-11-13 03:11:25,-20.54,-69.03,93,5.1
2012-10-11 17:22:10,-32.88,-70.65,95,5.7
2012-10-08 01:50:25,-21.83,-68.54,121,5.7
2012-09-21 12:17:25,-19.72,-69.33,101,5.4
2012-08-30 08:04:38,-37.24,-73.86,40,5.2
2012-08-27 00:39:55,-23.74,-69.42,99,5.0
2012-08-07 00:39:03,-27.88,-70.58,74,5.5
2012-05-19 08:35:09,-25.74,-70.86,84,6.1
2012-05-14 10:00:40,-18.11,-70.24,120,6.4
2012-04-30 07:39:44,-29.8,-71.64,43,6.0
2012-04-01 07:31:36,-23.06,-69.32,94,5.2
2012-03-25 22:37:06,-35.2,-72.22,41,6.8
2012-03-24 07:28:33,-33.05,-71.06,69,5.2
2012-03-19 21:52:39,-25.0,-69.75,100,5.0
2012-03-10 02:26:57,-19.74,-69.25,101,5.3
2012-03-04 16:27:20,-21.6,-70.06,47,5.3
2012-03-03 11:01:47,-30.19,-71.45,35,5.6
