Date(UTC),Latitude,Longitude,Depth,Magnitude
2019-06-05 16:19:42,-27.41,-70.23,91,5.4
2019-06-04 17:19:19,-30.3,-71.33,24,3.1
2019-06-04 12:48:06,-19.86,-69.22,94,4.3
2019-06-04 10:33:39,-32.16,-71.75,37,4.6
2019-06-03 08:42:13,-19.64,-70.42,57,5.2
2019-06-03 04:22:25,-32.74,-71.4,63,5.1
2019-06-03 02:34:34,-35.07,-72.43,43,3.6
2019-06-02 19:49:29,-32.15,-71.7,30,4.3
2019-06-02 03:21:17,-23.67,-69.36,86,4.5
2019-06-01 15:22:57,-27.12,-70.91,35,3.9
2019-06-01 10:59:41,-29.69,-71.31,59,4.5
2019-05-30 18:33:20,-33.11,-71.86,32,3.5
2019-05-30 03:34:56,-23.46,-68.87,104,5.0
2019-05-27 22:44:26,-28.73,-70.57,92,4.6
2019-05-27 21:56:14,-30.68,-71.76,35,4.2
2019-05-27 15:25:26,-33.09,-71.89,28,4.3
2019-05-27 12:21:17,-20.53,-70.18,36,3.2
2019-05-26 13:34:35,-25.96,-69.05,121,4.1
2019-05-26 01:26:00,-30.4,-71.44,11,3.5
2019-05-25 08:06:56,-29.85,-71.54,38,3.5
2019-05-24 21:21:31,-20.03,-69.14,94,3.7
2019-05-24 20:16:01,-27.91,-66.95,176,5.8
2019-05-23 00:59:25,-34.8,-71.81,42,4.2
2019-05-22 22:42:30,-38.42,-72.18,77,4.1
2019-05-22 04:23:12,-40.48,-72.94,46,4.8
2019-05-21 19:25:12,-30.5,-71.24,57,4.6
2019-05-20 11:18:32,-31.49,-70.23,134,5.6
2019-05-18 23:32:34,-20.19,-69.37,102,4.0
2019-05-18 17:51:57,-30.26,-71.17,59,4.0
2019-05-18 02:52:25,-33.3,-70.34,105,4.0
2019-05-17 14:16:24,-19.75,-70.28,69,5.0
2019-05-16 14:32:50,-17.88,-70.31,111,5.2
2019-05-16 04:32:28,-29.92,-71.42,53,3.8
2019-05-16 01:34:11,-34.47,-71.96,28,4.0
2019-05-16 00:32:13,-31.5,-69.7,139,5.0
2019-05-15 07:55:33,-21.66,-70.49,40,4.3
2019-05-14 23:15:33,-33.65,-70.05,11,2.3
2019-05-12 06:42:24,-22.02,-69.95,50,4.0
2019-05-11 17:05:24,-41.98,-74.21,46,4.2
