Date(UTC),Latitude,Longitude,Depth,Magnitude
2018-02-01 00:12:57,-37.54,-73.96,26,5.1
2018-01-28 23:53:15,-31.27,-69.27,183,5.5
2018-01-28 10:11:29,-28.2,-69.39,127,5.1
2018-01-27 09:06:48,-29.19,-71.13,59,4.2
2018-01-26 15:26:24,-37.58,-73.93,21,4.8
2018-01-26 13:27:06,-37.49,-74.26,22,5.1
2018-01-26 12:54:38,-30.99,-71.32,55,4.1
2018-01-25 16:22:20,-18.32,-69.19,12,4.2
2018-01-25 11:53:44,-18.25,-69.12,11,5.3
2018-01-24 07:46:06,-20.31,-69.11,106,5.3
2018-01-22 08:17:54,-29.62,-71.49,49,4.3
2018-01-21 18:04:17,-35.98,-73.46,19,4.7
2018-01-21 14:42:53,-36.07,-73.29,32,4.2
2018-01-21 09:52:05,-22.54,-68.92,89,4.0
2018-01-21 01:06:40,-18.88,-69.61,129,6.2
2018-01-20 11:31:14,-28.98,-71.74,49,5.2
2018-01-15 04:58:40,-21.72,-68.57,112,4.5
2018-01-14 09:18:44,-15.77,-74.67,35,7.0
2018-01-13 14:19:04,-21.46,-68.78,116,4.6
2018-01-10 03:16:44,-18.22,-69.57,130,4.7
2018-01-04 06:01:27,-32.72,-71.66,27,4.4
2017-12-31 17:53:40,-29.27,-71.56,62,4.0
2017-12-31 10:21:59,-32.02,-71.56,35,4.1
2017-12-30 16:18:29,-21.23,-68.68,119,4.2
2017-12-30 12:54:34,-28.02,-71.34,45,4.0
2017-12-30 08:20:51,-19.28,-69.36,104,5.1
2017-12-28 03:54:52,-24.91,-70.17,53,5.5
2017-12-26 13:05:26,-32.77,-70.2,112,4.2
2017-12-26 00:05:14,-23.98,-69.35,95,4.6
2017-12-23 04:07:43,-29.86,-71.44,55,4.0
2017-12-20 06:08:18,-32.49,-71.71,33,4.3
2017-12-19 13:14:36,-26.05,-70.43,55,4.7
2017-12-17 01:19:27,-20.24,-69.15,100,4.5
2017-12-15 14:14:10,-18.01,-70.08,84,4.5
2017-12-14 18:10:34,-19.84,-70.24,23,4.6
2017-12-11 19:00:57,-19.66,-71.15,35,5.3
2017-12-11 00:22:01,-19.16,-70.06,42,4.4
2017-12-10 02:09:30,-36.05,-73.06,51,5.0
2017-12-08 09:28:45,-40.34,-72.59,81,4.0
2017-12-06 20:46:31,-32.28,-71.36,45,4.5
2017-12-06 18:22:26,-37.43,-74.35,22,4.3
2017-12-06 12:29:03,-32.13,-71.8,32,4.2
2017-12-06 08:30:37,-37.49,-74.62,35,4.7
2017-12-06 06:33:26,-32.01,-71.52,38,4.3
2017-12-02 09:30:23,-28.41,-70.19,112,4.2
2017-11-29 10:02:54,-33.54,-70.01,116,4.4
2017-11-27 19:19:33,-17.62,-69.46,159,5.0
2017-11-27 04:21:17,-22.51,-70.54,28,4.2
2017-11-26 22:15:13,-32.23,-71.03,66,5.4
2017-11-26 08:47:39,-32.65,-71.59,32,4.0
2017-11-25 21:18:26,-20.01,-70.8,44,4.0
2017-11-23 13:58:44,-21.25,-68.42,124,4.3
2017-11-23 12:53:30,-29.92,-71.37,44,3.5
2017-11-22 04:00:27,-20.5,-68.92,103,4.3
2017-11-18 16:26:17,-21.97,-68.68,98,4.5
2017-11-18 10:01:28,-20.75,-69.13,108,5.0
2017-11-17 16:45:47,-19.79,-69.28,105,5.3
2017-11-17 02:16:51,-32.12,-71.83,35,4.3
2017-11-14 03:59:04,-20.2,-69.21,91,4.3
2017-11-09 07:36:58,-30.7,-71.36,39,5.0
2017-11-09 05:46:07,-28.32,-71.23,54,4.3
2017-11-08 19:34:16,-33.2,-70.45,99,4.0
2017-11-08 11:50:17,-24.0,-69.29,94,4.3
2017-11-07 12:17:39,-29.46,-71.29,45,4.1
2017-11-07 08:11:17,-22.14,-68.66,129,5.1
2017-11-06 07:52:19,-34.68,-70.79,99,4.4
2017-11-04 19:03:27,-20.0,-69.13,98,4.1
2017-11-02 21:24:10,-30.93,-71.26,54,4.3
2017-11-02 19:00:40,-23.16,-69.93,54,4.4
2017-11-02 12:46:23,-19.67,-69.3,100,4.1
2017-10-29 22:58:58,-31.05,-71.36,68,4.6
2017-10-27 20:38:55,-30.6,-71.65,31,4.2
2017-10-21 16:19:03,-20.76,-69.69,55,4.0
2017-10-19 09:14:50,-30.63,-71.25,55,4.2
2017-10-17 11:58:30,-22.63,-67.72,169,5.4
2017-10-17 10:40:41,-32.59,-71.04,80,4.0
2017-10-15 02:54:58,-22.76,-68.94,107,4.9
2017-10-14 23:48:38,-21.07,-68.75,116,4.2
2017-10-13 02:23:30,-20.29,-69.14,91,4.0
2017-10-12 17:21:09,-19.67,-69.18,99,4.3
2017-10-10 07:21:43,-18.57,-69.77,90,4.9
2017-10-10 07:04:47,-18.62,-69.78,75,4.5
2017-10-10 06:32:20,-18.49,-69.74,100,6.3
2017-10-10 01:56:24,-27.72,-70.21,75,4.0
2017-10-09 22:55:51,-30.01,-71.24,50,4.7
2017-10-09 06:13:32,-27.84,-70.09,98,4.1
2017-10-09 01:41:55,-21.23,-68.74,118,4.5
2017-10-08 12:36:29,-20.39,-68.89,104,4.0
2017-10-07 10:37:26,-32.47,-71.76,15,4.0
2017-10-05 08:11:37,-22.37,-68.54,115,5.8
2017-10-04 08:25:32,-30.72,-71.34,42,4.3
2017-10-03 08:27:13,-33.02,-72.0,31,4.4
2017-10-02 22:07:54,-22.21,-68.73,112,4.6
2017-10-01 10:24:36,-28.4,-70.75,72,4.3
2017-09-29 18:08:56,-29.94,-71.58,38,4.2
2017-09-27 09:01:07,-29.43,-71.27,40,4.1
2017-09-26 14:07:21,-28.38,-71.2,32,4.1
2017-09-26 12:14:48,-37.44,-74.14,32,4.7
