Date(UTC),Latitude,Longitude,Depth,Magnitude
2021-09-05 12:25:43,-20.14,-70.46,34,4.1
2021-09-04 03:29:46,-29.86,-71.18,63,3.8
2021-09-03 18:03:15,-19.51,-69.37,96,3.6
2021-09-03 09:51:39,-20.16,-69.27,99,3.1
2021-09-03 07:58:59,-30.03,-71.66,28,3.1
2021-09-01 18:35:47,-27.74,-71.12,15,5.5
2021-09-01 14:08:47,-30.06,-71.3,64,3.1
2021-08-31 13:11:27,-29.79,-71.47,61,4.1
2021-08-31 07:52:41,-28.15,-70.74,75,4.4
2021-08-30 16:26:31,-21.37,-69.8,51,4.1
2021-08-30 05:13:30,-30.57,-71.3,71,4.5
2021-08-26 08:34:30,-36.29,-71.61,98,4.4
2021-08-26 02:50:19,-29.33,-71.19,57,3.0
2021-08-25 23:35:42,-35.05,-70.57,20,2.8
2021-08-25 15:51:03,-19.39,-69.38,92,3.9
2021-08-25 00:28:33,-27.44,-69.34,107,5.3
2021-08-24 22:23:41,-28.46,-70.36,104,3.8
2021-08-24 11:06:59,-20.29,-69.04,96,4.0
2021-08-23 21:02:25,-20.91,-69.01,101,4.8
2021-08-22 06:44:43,-31.64,-71.51,37,3.0
2021-08-21 22:07:50,-18.27,-70.32,84,4.5
2021-08-20 01:02:23,-40.07,-72.43,4,2.8
2021-08-18 15:44:25,-19.51,-69.78,68,4.1
2021-08-16 07:00:10,-23.73,-69.88,71,5.2
2021-08-15 15:48:24,-21.35,-68.86,121,4.8
2021-08-13 19:02:45,-19.86,-69.9,62,4.0
2021-08-12 04:37:34,-30.29,-71.49,51,4.3
2021-08-08 23:24:34,-32.92,-71.26,58,4.2
2021-08-07 18:31:05,-21.85,-68.44,146,5.2
2021-08-07 08:40:22,-32.56,-71.73,36,3.5
2021-08-06 04:18:49,-27.2,-70.96,32,4.0
2021-08-04 06:16:53,-18.45,-69.53,118,4.7
2021-08-04 00:27:13,-30.07,-71.57,37,4.7
2021-08-03 19:32:28,-32.34,-70.77,98,4.3
2021-08-03 14:44:31,-30.0,-71.28,56,3.0
2021-08-02 15:09:34,-22.5,-70.28,65,4.9
2021-08-02 11:58:27,-21.06,-69.73,67,4.4
2021-08-02 11:51:30,-25.36,-70.42,72,4.4
2021-07-31 15:25:36,-20.38,-69.09,104,4.0
2021-07-31 12:46:46,-32.66,-71.69,36,3.2
2021-07-31 12:34:05,-32.68,-71.84,42,3.1
2021-07-31 12:29:35,-32.68,-71.74,34,3.7
2021-07-31 12:14:25,-32.68,-71.79,35,4.9
2021-07-29 22:03:05,-20.49,-69.14,101,4.0
2021-07-29 19:52:33,-28.87,-71.05,77,4.1
2021-07-29 19:29:05,-22.04,-70.33,18,3.6
2021-07-28 11:09:52,-18.6,-70.64,36,4.4
2021-07-27 12:26:56,-19.58,-69.4,112,3.4
2021-07-26 20:58:06,-33.44,-71.77,42,4.9
2021-07-25 19:13:00,-28.76,-71.47,37,4.3
2021-07-25 01:45:35,-19.87,-69.9,56,3.1
2021-07-24 03:56:57,-27.07,-70.99,44,3.5
2021-07-22 01:28:22,-32.05,-71.17,60,3.6
2021-07-21 16:23:56,-21.71,-68.71,108,5.0
2021-07-20 03:26:51,-19.19,-69.61,115,3.6
2021-07-18 21:32:31,-18.96,-69.6,105,4.2
2021-07-16 07:02:27,-28.88,-70.72,69,3.9
2021-07-14 20:32:33,-29.24,-71.14,56,4.0
2021-07-14 05:22:33,-33.18,-70.31,117,4.8
2021-07-13 23:55:17,-25.75,-69.09,137,5.0
2021-07-13 22:17:43,-28.79,-71.37,39,4.0
2021-07-12 16:39:33,-29.6,-71.25,51,3.6
2021-07-11 23:12:59,-25.82,-70.27,63,4.4
2021-07-10 02:28:59,-21.38,-69.89,59,4.2
2021-07-09 21:51:45,-25.76,-70.84,55,4.5
2021-07-09 06:34:01,-29.02,-69.83,128,4.0
2021-07-09 05:05:31,-20.34,-68.73,114,5.0
2021-07-08 20:38:33,-28.75,-71.53,35,5.4
2021-07-08 17:56:25,-34.76,-71.84,40,4.9
